customer_tweet_id,customer_message,support_reply
1615800,@SpotifyCares Also why does my girlfriends account go three or more songs between ads and mine usually one after being a long time premium account,"@495535 Thanks! Just to confirm, did you watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MC"
2121317,@SpotifyCares can you tell me why my app keeps removing all downloaded songs. 2nd time this week it's happened. I listen mainly offline so need downloads https://t.co/YUmALFBPfe,"@625000 Hey, help's here. Is this happening to just your downloaded albums or to your offline playlists as well? /AY"
1683029,@SpotifyCares Version 8.2.0.549 and os 11 ( although was like this when I had ios 9),@511586 Got it. Can you check if updating the app makes a difference? /DV
2692981,"@SpotifyCares I was surprised to see one of my fav Christmas tracks by @103595 wasn't on the ""Christmas in Canada"" 🇨🇦 playlist @3493. I enjoy hearing it every year! https://t.co/43dMzEE5ev","@756950 Hey Mitchell, glad to hear we could surprise you this year! Be sure to check out that tracks Song Radio for more tunes just like it 🎁 /TB"
1456546,@SpotifyCares I lost my premium account subscription with FIDO. What's going on? Music is my life!,@458065 Hi Marc! We've sent a reply to your DM. Let's carry on chatting there /LP
2663996,"So saving an entire album to a playlist on Android no longer automatically names the playlist ""Artist - Album Name""? This is a step backwards @115888 @SpotifyCares!","@750669 Hey there! Don't worry, help's here. Can you let us know the device you're using along with its Android and Spotify versions? We'll be on the lookout for your reply /MT"
1788653,@SpotifyCares Gift**,@537301 Hey Lizzy! You can purchase E-cards for Spotify Premium here: https://t.co/42zVxzQuAV. Let us know if you have any questions /TF
1372118,@SpotifyCares thank you!,@235785 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /AP
1578595,@SpotifyCares y'all need to update for iPhone X! All the major apps had day 1 updates ready,"@486158 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF"
1448180,"@SpotifyCares ...and I get the ""No results found for '[insert search term]'"" message. I've had lots of bugs, but this is new.","@456065 Hey Lucas! Does logging out of Spotify, restarting your device and logging back in help at all? Keep us posted /TF"
1904128,@SpotifyCares I am so sick that I am forced to re-download my playlists non-top. I went from  #groovemusic with no problems to this. :/,"@567449 Hey Mikkel, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /AY"
1702124,@SpotifyCares any word of when you'll up the limit of songs that we can save? i cleared it up last year and i ran into this issue again https://t.co/7zmzUNcWuf,"@516077 We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 🙂 /VK"
2552706,@725075 @6860 @115888 Yeah @115888 I tried to listen to take care today hyfr couldn't find it what gives eh? Thank u!,"@723973 @725075 @6860 @115888 Hey! Fingers crossed we'll be able to have it to you soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /KM"
1960908,"Hey @115888 why is there a limit to how large my library can be, even if I'm a premium user?","@398465 Hi! Right now, you can only download up to 3,333 songs per device for offline listening, on up to 3 devices. We'll pass on your feedback /DD"
1812580,"@SpotifyCares ,, you said you sent a password reset to my email, but yet I never got the email","@544540 Hi there, that's not cool! Could you DM us your account's username or password? We'll check backstage /RE https://t.co/ldFdZRiNAt"
2027299,@115888 why isn’t my Spotify radio nor any searches working and I’m a premium member? Keeps saying an “error occurred.” Restarted my phone,"@599508 @115888 Hey there! Could you let us know your device's make/model, operating system, and Spotify version? We'll see what we can suggest /GU"
